2020-05-02 05:20:13 status half-installed e2fsprogs:amd64 1.45.5-2ubuntu1
2020-05-02 05:20:13 status unpacked e2fsprogs:amd64 1.45.5-2ubuntu1
2020-05-02 05:20:13 install fdisk:amd64 <none> 2.34-0.1ubuntu9
2020-05-02 05:20:13 status half-installed fdisk:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:13 status unpacked fdisk:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:14 install findutils:amd64 <none> 4.7.0-1ubuntu1
2020-05-02 05:20:14 status half-installed findutils:amd64 4.7.0-1ubuntu1
2020-05-02 05:20:14 status unpacked findutils:amd64 4.7.0-1ubuntu1
2020-05-02 05:20:14 install gcc-10-base:amd64 <none> 10-20200411-0ubuntu1
2020-05-02 05:20:14 status half-installed gcc-10-base:amd64 10-20200411-0ubuntu1
2020-05-02 05:20:14 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2020-05-02 05:20:14 install grep:amd64 <none> 3.4-1
2020-05-02 05:20:14 status half-installed grep:amd64 3.4-1
2020-05-02 05:20:14 status unpacked grep:amd64 3.4-1
2020-05-02 05:20:14 install gzip:amd64 <none> 1.10-0ubuntu4
2020-05-02 05:20:14 status half-installed gzip:amd64 1.10-0ubuntu4
2020-05-02 05:20:14 status unpacked gzip:amd64 1.10-0ubuntu4
2020-05-02 05:20:14 install hostname:amd64 <none> 3.23
2020-05-02 05:20:14 status half-installed hostname:amd64 3.23
2020-05-02 05:20:14 status unpacked hostname:amd64 3.23
2020-05-02 05:20:14 install init-system-helpers:all <none> 1.57
2020-05-02 05:20:14 status half-installed init-system-helpers:all 1.57
2020-05-02 05:20:14 status unpacked init-system-helpers:all 1.57
2020-05-02 05:20:14 install libacl1:amd64 <none> 2.2.53-6
2020-05-02 05:20:14 status half-installed libacl1:amd64 2.2.53-6
2020-05-02 05:20:14 status unpacked libacl1:amd64 2.2.53-6
2020-05-02 05:20:14 install libattr1:amd64 <none> 1:2.4.48-5
2020-05-02 05:20:14 status half-installed libattr1:amd64 1:2.4.48-5
2020-05-02 05:20:14 status unpacked libattr1:amd64 1:2.4.48-5
2020-05-02 05:20:14 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2020-05-02 05:20:14 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-05-02 05:20:14 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-05-02 05:20:14 install libaudit1:amd64 <none> 1:2.8.5-2ubuntu6
2020-05-02 05:20:14 status half-installed libaudit1:amd64 1:2.8.5-2ubuntu6
2020-05-02 05:20:14 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu6
2020-05-02 05:20:14 install libblkid1:amd64 <none> 2.34-0.1ubuntu9
2020-05-02 05:20:14 status half-installed libblkid1:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:14 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:15 install libbz2-1.0:amd64 <none> 1.0.8-2
2020-05-02 05:20:15 status half-installed libbz2-1.0:amd64 1.0.8-2
2020-05-02 05:20:15 status unpacked libbz2-1.0:amd64 1.0.8-2
2020-05-02 05:20:15 install libc-bin:amd64 <none> 2.31-0ubuntu9
2020-05-02 05:20:15 status half-installed libc-bin:amd64 2.31-0ubuntu9
2020-05-02 05:20:15 status unpacked libc-bin:amd64 2.31-0ubuntu9
2020-05-02 05:20:15 upgrade libc6:amd64 2.31-0ubuntu9 2.31-0ubuntu9
2020-05-02 05:20:15 status half-configured libc6:amd64 2.31-0ubuntu9
2020-05-02 05:20:15 status unpacked libc6:amd64 2.31-0ubuntu9
2020-05-02 05:20:15 status half-installed libc6:amd64 2.31-0ubuntu9
2020-05-02 05:20:16 status unpacked libc6:amd64 2.31-0ubuntu9
2020-05-02 05:20:16 install libcap-ng0:amd64 <none> 0.7.9-2.1build1
2020-05-02 05:20:16 status half-installed libcap-ng0:amd64 0.7.9-2.1build1
2020-05-02 05:20:16 status unpacked libcap-ng0:amd64 0.7.9-2.1build1
2020-05-02 05:20:16 install libcom-err2:amd64 <none> 1.45.5-2ubuntu1
2020-05-02 05:20:16 status half-installed libcom-err2:amd64 1.45.5-2ubuntu1
2020-05-02 05:20:16 status unpacked libcom-err2:amd64 1.45.5-2ubuntu1
2020-05-02 05:20:16 install libcrypt1:amd64 <none> 1:4.4.10-10ubuntu4
2020-05-02 05:20:16 status half-installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-05-02 05:20:16 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-05-02 05:20:16 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.6ubuntu2
2020-05-02 05:20:16 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-05-02 05:20:16 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-05-02 05:20:16 install libdebconfclient0:amd64 <none> 0.251ubuntu1
2020-05-02 05:20:16 status half-installed libdebconfclient0:amd64 0.251ubuntu1
2020-05-02 05:20:16 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2020-05-02 05:20:16 install libext2fs2:amd64 <none> 1.45.5-2ubuntu1
2020-05-02 05:20:16 status half-installed libext2fs2:amd64 1.45.5-2ubuntu1
2020-05-02 05:20:16 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2020-05-02 05:20:16 install libfdisk1:amd64 <none> 2.34-0.1ubuntu9
2020-05-02 05:20:16 status half-installed libfdisk1:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:16 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:16 install libgcc-s1:amd64 <none> 10-20200411-0ubuntu1
2020-05-02 05:20:16 status half-installed libgcc-s1:amd64 10-20200411-0ubuntu1
2020-05-02 05:20:16 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2020-05-02 05:20:17 install libgcrypt20:amd64 <none> 1.8.5-5ubuntu1
2020-05-02 05:20:17 status half-installed libgcrypt20:amd64 1.8.5-5ubuntu1
2020-05-02 05:20:17 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1
2020-05-02 05:20:17 install libgpg-error0:amd64 <none> 1.37-1
2020-05-02 05:20:17 status half-installed libgpg-error0:amd64 1.37-1
2020-05-02 05:20:17 status unpacked libgpg-error0:amd64 1.37-1
2020-05-02 05:20:17 install liblz4-1:amd64 <none> 1.9.2-2
2020-05-02 05:20:17 status half-installed liblz4-1:amd64 1.9.2-2
2020-05-02 05:20:17 status unpacked liblz4-1:amd64 1.9.2-2
2020-05-02 05:20:17 install liblzma5:amd64 <none> 5.2.4-1
2020-05-02 05:20:17 status half-installed liblzma5:amd64 5.2.4-1
2020-05-02 05:20:17 status unpacked liblzma5:amd64 5.2.4-1
2020-05-02 05:20:17 install libmount1:amd64 <none> 2.34-0.1ubuntu9
2020-05-02 05:20:17 status half-installed libmount1:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:17 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:17 install libncurses6:amd64 <none> 6.2-0ubuntu2
2020-05-02 05:20:17 status half-installed libncurses6:amd64 6.2-0ubuntu2
2020-05-02 05:20:17 status unpacked libncurses6:amd64 6.2-0ubuntu2
2020-05-02 05:20:17 install libncursesw6:amd64 <none> 6.2-0ubuntu2
2020-05-02 05:20:17 status half-installed libncursesw6:amd64 6.2-0ubuntu2
2020-05-02 05:20:17 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2020-05-02 05:20:17 install libpam-modules:amd64 <none> 1.3.1-5ubuntu4
2020-05-02 05:20:17 status half-installed libpam-modules:amd64 1.3.1-5ubuntu4
2020-05-02 05:20:18 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2020-05-02 05:20:18 install libpam-modules-bin:amd64 <none> 1.3.1-5ubuntu4
2020-05-02 05:20:18 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu4
2020-05-02 05:20:18 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2020-05-02 05:20:18 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2020-05-02 05:20:18 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2020-05-02 05:20:18 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2020-05-02 05:20:18 install libpam0g:amd64 <none> 1.3.1-5ubuntu4
2020-05-02 05:20:18 status half-installed libpam0g:amd64 1.3.1-5ubuntu4
2020-05-02 05:20:18 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2020-05-02 05:20:18 install libpcre2-8-0:amd64 <none> 10.34-7
2020-05-02 05:20:18 status half-installed libpcre2-8-0:amd64 10.34-7
2020-05-02 05:20:18 status unpacked libpcre2-8-0:amd64 10.34-7
2020-05-02 05:20:18 install libpcre3:amd64 <none> 2:8.39-12build1
2020-05-02 05:20:18 status half-installed libpcre3:amd64 2:8.39-12build1
2020-05-02 05:20:18 status unpacked libpcre3:amd64 2:8.39-12build1
2020-05-02 05:20:18 install libprocps8:amd64 <none> 2:3.3.16-1ubuntu2
2020-05-02 05:20:18 status half-installed libprocps8:amd64 2:3.3.16-1ubuntu2
